key,value,location
User_0,70.19,Zone_0
User_1,2.73,Zone_1
User_2,24.21,Zone_2
User_3,22.57,Zone_3
User_4,20.31,Zone_4
User_5,10.66,Zone_0
User_6,8.18,Zone_1
User_7,6.51,Zone_2
User_8,21.43,Zone_3
User_9,3.25,Zone_4
User_10,5.88,Zone_0
User_11,11.90,Zone_1
User_12,19.28,Zone_2
User_13,14.46,Zone_3
User_14,10.46,Zone_4
User_15,5.29,Zone_0
User_16,21.44,Zone_1
User_17,12.33,Zone_2
User_18,16.08,Zone_3
User_19,6.97,Zone_4
User_20,21.55,Zone_0
User_21,19.28,Zone_1
User_22,6.19,Zone_2
User_23,24.32,Zone_3
User_24,8.39,Zone_4
User_25,8.10,Zone_0
User_26,11.54,Zone_1
User_27,30.82,Zone_2
User_28,20.61,Zone_3
User_29,17.73,Zone_4
User_30,15.78,Zone_0
User_31,17.72,Zone_1
User_32,7.70,Zone_2
User_33,23.43,Zone_3
User_34,21.17,Zone_4
User_35,18.77,Zone_0
User_36,19.17,Zone_1
User_37,8.92,Zone_2
User_38,29.91,Zone_3
User_39,13.57,Zone_4
User_40,18.78,Zone_0
User_41,19.17,Zone_1
User_42,12.68,Zone_2
User_43,21.96,Zone_3
User_44,5.43,Zone_4
User_45,14.22,Zone_0
User_46,32.62,Zone_1
User_47,29.95,Zone_2
User_48,33.99,Zone_3
User_49,11.53,Zone_4
User_50,15.58,Zone_0
User_51,24.89,Zone_1
User_52,20.28,Zone_2
User_53,19.70,Zone_3
User_54,29.64,Zone_4
User_55,18.32,Zone_0
User_56,-5.61,Zone_1
User_57,25.43,Zone_2
User_58,20.71,Zone_3
User_59,5.65,Zone_4
User_60,4.72,Zone_0
User_61,12.56,Zone_1
User_62,10.07,Zone_2
User_63,18.38,Zone_3
User_64,0.52,Zone_4
User_65,24.76,Zone_0
User_66,6.90,Zone_1
User_67,-1.53,Zone_2
User_68,10.15,Zone_3
User_69,13.85,Zone_4
User_70,16.77,Zone_0
User_71,10.76,Zone_1
User_72,16.00,Zone_2
User_73,9.77,Zone_3
User_74,24.35,Zone_4
User_75,9.02,Zone_0
User_76,6.80,Zone_1
User_77,11.86,Zone_2
User_78,19.26,Zone_3
User_79,27.28,Zone_4
User_80,23.98,Zone_0
User_81,11.68,Zone_1
User_82,16.92,Zone_2
User_83,22.00,Zone_3
User_84,16.00,Zone_4
User_85,30.83,Zone_0
User_86,6.77,Zone_1
User_87,2.01,Zone_2
User_88,11.95,Zone_3
User_89,7.14,Zone_4
User_90,18.54,Zone_0
User_91,15.63,Zone_1
User_92,11.25,Zone_2
User_93,21.90,Zone_3
User_94,20.79,Zone_4
User_95,7.51,Zone_0
User_96,23.06,Zone_1
User_97,14.64,Zone_2
User_98,15.90,Zone_3
User_99,18.18,Zone_4
User_0,45.60,Zone_0
User_1,16.26,Zone_1
User_2,15.13,Zone_2
User_3,13.86,Zone_3
User_4,33.69,Zone_4
User_5,20.29,Zone_0
User_6,24.35,Zone_1
User_7,13.06,Zone_2
User_8,2.04,Zone_3
User_9,15.78,Zone_4
User_10,28.73,Zone_0
User_11,10.82,Zone_1
User_12,21.73,Zone_2
User_13,21.15,Zone_3
User_14,20.95,Zone_4
User_15,20.85,Zone_0
User_16,15.32,Zone_1
User_17,5.90,Zone_2
User_18,12.46,Zone_3
User_19,19.55,Zone_4
User_20,26.42,Zone_0
User_21,12.45,Zone_1
User_22,20.00,Zone_2
User_23,24.69,Zone_3
User_24,10.87,Zone_4
User_25,-0.49,Zone_0
User_26,14.76,Zone_1
User_27,17.18,Zone_2
User_28,28.68,Zone_3
User_29,7.58,Zone_4
User_30,12.07,Zone_0
User_31,25.09,Zone_1
User_32,15.70,Zone_2
User_33,26.75,Zone_3
User_34,3.70,Zone_4
User_35,12.34,Zone_0
User_36,23.62,Zone_1
